Timestamp,SensorData
130976828,7830,1.62,0.51,7.52

130976843,5
130976843,7843,1.57,0.52,9.17

130976859,5
130976859,7856,1.37,0.48,9.24

130976875,5
130976875,7869,1.38,0.48,9.35

130976890,5
130976890,7882,1.41,0.54,9.32

130976890,5
130976906,7895,1.36,0.49,9.37

130976906,5
130976906,7908,1.39,0.48,9.38

130976921,5
130976921,7921,1.38,0.48,9.35

130976937,5
130976937,7934,1.40,0.50,9.38

130976953,5
130976953,7947,1.40,0.52,9.35

130976968,5
130976968,7960,1.38,0.47,9.35

130976984,5
130976984,7973,1.44,0.51,9.27

130976984,5
130976984,7986,1.03,0.03,14.98

130977000,5
130977000,7999,1.68,1.08,10.37

130977015,5
130977015,8012,1.46,0.74,10.01

130977031,5
130977031,8025,1.30,0.67,9.55

130977046,5
130977046,8038,1.38,0.74,9.40

130977046,5
130977062,8051,1.33,0.64,9.51

130977062,5
130977062,8064,1.32,0.69,9.62

130977078,5
130977078,8077,1.42,0.73,9.86

130977093,5
130977093,8090,1.66,0.69,10.31

130977109,5
130977109,8103,-0.06,0.31,9.97

130977125,5
130977125,8116,1.72,0.33,7.42

130977140,5
130977140,8129,1.63,0.57,8.81

130977140,5
130977140,8142,1.41,0.49,9.17

130977156,5
130977156,8155,1.39,0.48,9.37

130977171,5
130977171,8168,1.42,0.52,9.25

130977187,5
130977187,8181,1.38,0.48,9.34

130977203,5
130977203,8194,1.40,0.51,9.38

130977218,5
130977218,8207,1.38,0.48,9.40

130977218,5
130977218,8220,1.33,0.47,9.42

130977234,5
130977234,8233,1.40,0.48,9.36

130977250,5
130977250,8246,1.36,0.46,9.34

130977265,5
130977265,8259,-0.26,-1.34,2.41

130977281,5
130977281,8272,1.66,1.07,11.62

130977281,5
130977296,8285,1.32,0.62,10.01

130977296,5
130977296,8298,1.39,0.78,9.62

130977312,5
130977312,8311,1.39,0.68,9.37

130977328,5
130977328,8324,1.36,0.67,9.39

130977343,5
130977343,8337,1.34,0.67,9.50

130977359,5
130977359,8350,1.32,0.67,9.56

130977359,5
