gesture,ax,ay,az,gx,gy,gz
left,1.33,0.54,9.42,0.05,0.05,-0.03
left,1.44,0.35,9.4,0.04,0.04,-0.04
left,1.48,0.23,9.31,0.06,0.04,-0.03
left,1.5,0.31,9.45,0.09,0.04,-0.02
left,1.5,0.34,9.54,0.1,0.03,-0.02
left,1.53,0.39,9.64,0.08,0.03,-0.01
left,1.56,0.34,9.56,0.05,0.02,0.01
left,1.53,0.34,9.64,0.01,0.02,0.03
left,1.53,0.3,9.46,-0.01,0.03,0.04
left,1.4,0.37,9.4,-0.01,0.02,0.06
left,1.4,0.46,9.5,-0.01,0.02,0.06
left,1.35,0.63,9.49,-0.03,0.03,0.05
left,1.36,0.57,9.4,-0.04,0.03,0.03
left,1.38,0.49,9.14,-0.02,0.03,0.02
left,1.42,0.57,9.39,-0.0,0.02,0.01
left,1.55,0.41,9.44,-0.02,0.02,0.01
left,1.58,0.25,9.49,-0.03,0.02,0.04
left,1.52,0.37,9.52,-0.04,0.02,0.06
left,1.42,0.53,9.53,-0.04,0.03,0.07
left,1.37,0.72,9.52,-0.04,0.03,0.05
left,1.35,0.63,9.45,-0.03,0.04,0.01
left,1.44,0.45,9.43,-0.03,0.04,-0.01
left,1.54,0.27,9.45,-0.01,0.03,0.0
left,1.55,0.28,9.56,-0.02,0.03,0.02
left,1.5,0.3,9.51,-0.05,0.03,0.03
left,1.42,0.32,9.42,-0.05,0.03,0.04
left,1.38,0.45,9.3,-0.04,0.03,0.04
left,1.36,0.51,9.36,-0.02,0.03,0.03
left,1.39,0.49,9.37,-0.01,0.03,0.01
left,1.43,0.41,9.39,-0.02,0.02,0.0
left,1.47,0.32,9.44,-0.03,0.02,0.0
left,1.54,0.19,9.42,-0.03,0.02,0.02
left,1.51,0.22,9.46,-0.01,0.02,0.04
left,1.49,0.44,9.55,-0.01,0.02,0.06
left,1.47,0.64,9.51,-0.02,0.02,0.05
left,1.46,0.61,9.48,-0.03,0.02,0.02
left,1.48,0.55,9.46,-0.03,0.02,0.02
left,1.4,0.51,9.37,-0.0,0.02,0.01
left,1.42,0.58,9.43,0.01,0.02,0.02
left,1.41,0.58,9.38,0.0,0.02,0.01
left,1.5,0.48,9.48,-0.02,0.01,0.0
left,1.57,0.38,9.52,-0.03,0.01,0.01
left,1.49,0.49,9.54,-0.03,0.02,0.02
left,1.44,0.51,9.37,-0.04,0.02,0.02
left,1.51,0.46,9.36,-0.02,0.02,0.02
left,1.57,0.49,9.56,-0.01,0.01,0.02
left,1.57,0.48,9.66,-0.04,0.02,0.02
left,1.53,0.54,9.69,-0.05,0.02,0.03
left,1.43,0.54,9.45,-0.05,0.03,0.02
left,1.36,0.61,9.43,-0.01,0.04,0.01
left,1.35,0.51,9.34,0.01,0.04,0.0
left,1.42,0.37,9.27,0.04,0.03,-0.01
left,1.52,0.26,9.26,0.07,0.02,-0.02
left,1.6,0.07,9.33,0.11,0.02,-0.01
